S.no ,PRODUCT NAME,Product Specifications,Model / Manufaturer ,Qty,Price,Extra GST
1,"HIV - 10 Positive + 10 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,9240,12%
2,"HIV - 5 Positive + 5 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,4620,12%
3,"HIV - 2 Positive + 3 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,2310,12%
4,"HCV - 10 Positive + 10 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,9240,12%
5,"HCV - 5 Positive + 5 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,4620,12%
6,"HCV - 2 Positive + 3 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,2310,12%
7,"HBsAg - 10 Positive + 10 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,9240,12%
8,"HBsAg- 5 Positive + 5 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,4620,12%
9,"HBsAg - 2 Positive + 3 Negative ,0.5ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,2310,12%
10,"Syphilis - 10 Positive + 10 Negative ,0.25ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,11550,12%
11,"Syphilis - 5 Positive + 5 Negative ,0.25ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,5775,12%
12,"Syphilis - 2 Positive + 3 Negative ,0.25ml / vial - Performance Panel",IVD  - Performance Panels,Define Bio ,1,2777.5,12%
13,Exoglam Aloevera face Serum ( Anti - Aging Serum ),Cosmetic & Skin care ,Akrivis ,1,1155,18%
14,Exoglam Aloevera Multi Action Cream ( Anti - Aging ),Cosmetic & Skin care ,Akrivis ,1,1155,18%
15,Exoglam Aloevera Under Eye Gel ( Anti - Aging ),Cosmetic & Skin care ,Akrivis ,1,1155,18%
16,EXOGLAM face Serum ( Anti - Aging ),Cosmetic & Skin care ,Akrivis ,1,2079,18%
17,EX OGLAM MULTI-ACTION CREAM ( Anti - Aging ),Cosmetic & Skin care ,Akrivis ,1,2079,18%
18,EXOGLAM EYE GEL ( Anti - Aging ),Cosmetic & Skin care ,Akrivis ,1,2079,18%
19,Exo glam Hair Serum ( Anti - Aging ),Cosmetic & Skin care ,Akrivis ,1,8085,18%
20,Lyophilize d Synthetic Exosomes ( Anti - Aging ),Cosmetic & Skin care ,Akrivis ,1,6325,18%
21,Video LaryngoscopeV-LARY-GEN-I,Critical Care ,Elaman,1,27500,12%
22,Anesthesia Work Station  with 2 Veporizer- PISCES ,OT Equipment ,Panakeia ,1,506000,12%
23,Anesthesia Work Station with 1 Veporizer - PISCES,OT Equipment ,Panakeia ,1,418000,12%
24,ICU Ventilator - COVENT PRIME,Critical Care , Panakeia ,1,440000,12%
25,Portable Ventilator  - SAVEL,Emergency Care ,Panakeia ,1,209000,12%
26,RESUSCITATION KIT with Ventilator ,Critical Care ,Panakeia,1,181500,12%
27,5 Para Patient Monitor,Critical Care ,Panakeia,1,60500,12%
28,Allied Meditec Neptune Prime Anaesthesia Workstation- M-NEP PRIME- Allied Medical,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
29,Allied Meditec NeptunePlus Anaesthesia Workstation - M-NEP+,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
30,Allied JupiterPlus Anaesthesia Workstation - JUP-PLUSA-,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
31,Allied Jupiter Anaesthesia Workstation - JUP - AW ,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
32,Allied Jupiter Series Anaesthesia Machine -  JUP-200,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
33,Allied Jupiter Series Anaesthesia Machine -  JUP-300,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
34,Allied Jupiter Series Anaesthesia Machine -  JUP-500,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
35,Allied Meditec MedLite Portable Anaesthesia System - M-LITE ,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
36,Allied JupVet Veterinary Anaesthesia Machine - JUP-VET,Critical Care ,ALLIED MEDICAL ,1,108662.4,Inclusive of GST 
37,"Allied Meditec Pisces Vaporiser - MPHS/ MPIS/
 MPSSQ ",Critical Care ,ALLIED MEDICAL ,1,76969.2,Inclusive of GST 
38,Allied Meditec 2800 Anaesthesia Ventilator - M-2800 ,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
39,Allied Jupiter Anaesthesia Ventilator - A-JUP AV ,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
40,Allied Sharpscope 100 Video Laryngoscope- Sharpscope 100,Critical Care ,ALLIED MEDICAL ,1,99607.2,Inclusive of GST 
41,Allied Meditec Vista Intensive Care Ventilator With Stand - VISTA ,Critical Care ,ALLIED MEDICAL ,1,#VALUE!,Inclusive of GST 
