S.NO.,Product Name ,Product Specifications,Manufacture,Qty,Price,GST
1,Kelly Artery Sraight ," 5 1/2""",,1,316.8,12%
2,Kelly Artery Curved ,"5 1/2""",,1,316.8,12%
3,Providence Hospital Artery Str ,5 1/2 Inch,,1,316.8,12%
4,Providence Hospital Artery Cvd ,5 1/2 Inch,,1,316.8,12%
5,Dandy Artery Str , 5 1/2 Inch,,1,316.8,12%
6,Dandy Artery Cvd ,5 1/2 Inch,,1,316.8,12%
7,Crile Artery Str , 5 1/2 Inch,,1,227.04,12%
8,Crile Artery Cvd , 5 1/2 Inch,,1,227.04,12%
9,Heiss Artery Str ," 8""",,1,316.8,12%
10,Heiss Artery Cvd ," 8""",,1,316.8,12%
11,Birkett Artery Str ,"7""",,1,316.8,12%
12,Birkett Artery Cvd ,"7""",,1,316.8,12%
13,Sarot Artery Str ,"9 1/2""",,1,448.8,12%
14,Sarot Artery Cvd ," 9 1/2""",,1,448.8,12%
15,Crafoord Artery Str ,"10""",,1,448.8,12%
16,Crafoord Artery Cvd ,"10""",,1,448.8,12%
17,Roberts Artery Str ,"10""",,1,448.8,12%
18,Roberts Artery Cvd ," 10""",,1,448.8,12%
19,Baby Mixter ," 5""",,1,343.2,12%
20,Mixter ," 6 1/4""",,1,316.8,12%
21,Mixter ," 7""",,1,448.8,12%
22,Mixter," 8""",,1,448.8,12%
23,Mixter ," 9""",,1,580.8,12%
24,Mixter ,"10""",,1,580.8,12%
25,Mixter Gemini ,"6 1/4""",,1,316.8,12%
26,Mixter Gemini ," 7""",,1,448.8,12%
27,Mixter Gemini ," 8""",,1,448.8,12%
28,Mixter Gemini ,"9""",,1,580.8,12%
29,Mixter Gemini ,"10""",,1,580.8,12%
30,Mixter Overholt Bayonet ,"9 1/2""",,1,726,12%
31,Lahey Mixter ,"7 1/2""",,1,448.8,12%
32,Lahey Mixter ," 9""",,1,580.8,12%
33,Mixter Overholt ," 7 1/2""",,1,448.8,12%
34,Kocher Str ," 5""",,1,316.8,12%
35,Kocher Cvd ,"5""",,1,316.8,12%
36,Kocher Delicate Pattern Str ,"6 1/4""",,1,316.8,12%
37,Kocher Delicate Pattern Cvd ,"6 1/4""",,1,316.8,12%
38,Kocher Ochestner Str ," 5""",,1,316.8,12%
39,Kocher Ochestner Str ,"7""",,1,448.8,12%
40,Kocher Ochestner Str ,"8""",,1,448.8,12%
41,Kocher Ochestner Str ," 9""",,1,580.8,12%
42,Kocher Ochestner Str ,"10""",,1,580.8,12%
43,Kocher Ochestner Cvd ,"5""",,1,316.8,12%
44,Kocher Ochestner Cvd ," 6""",,1,316.8,12%
45,Kocher Ochestner Cvd ," 7""",,1,448.8,12%
46,Kocher Ochestner Cvd ," 8""",,1,448.8,12%
47,Kocher Ochestner Cvd ,"9""",,1,580.8,12%
48,Kocher Ochestner Cvd ,"10""",,1,580.8,12%
49,Moynihan Artery Str ," 9 1/2""",,1,448.8,12%
50,Moynihan Artery Cvd ,"9 1/2""",,1,448.8,12%
51,Werthein Str ," 6""",,1,224.4,12%
52,Werthein Str ,"8""",,1,316.8,12%
53,Werthein Cvd ,"6""",,1,227.04,12%
54,Werthein Cvd ," 8""",,1,316.8,12%
55,Rochestner Carmalt Str ," 6 1/4""",,1,227.04,12%
56,Rochestner Carmalt Cvd ,"6 1/4""",,1,227.04,12%
57,Rochestner Carmalt Str ,"8""",,1,316.8,12%
58,Rochestner Carmalt Cvd ,"8""",,1,316.8,12%
59,Dabakey Atraumattic Artery  Str ," 6 1/4""",,1,2970,12%
60,Dabakey Atraumattic Artery  Cvd ,"6 1/4""",,1,2970,12%
61,Dabakey Atraumatic Str  ,"6 1/4""",,1,2970,12%
62,Dabakey Atraumatic Cvd ,"6 1/4""",,1,2970,12%
63,Baby Babcock ,"5""",,1,343.2,12%
64,Babcock Small Mouuth Delicate ,"6""",,1,316.8,12%
65,Babcock Small Mouuth Delicate ," 8""",,1,448.8,12%
66,Babcock ,"6""",,1,316.8,12%
67,Babcock ,"8""",,1,448.8,12%
68,Babcock ,"9 1/2""",,1,580.8,12%
69,Debakey Babcock ," 6""",,1,2970,12%
70,Debakey Babcock ," 8""",,1,3366,12%
71,William ,"6""",,1,726,12%
72,Duval ," 7""",,1,990,12%
73,Duval ,"8""",,1,1254,12%
74,Lane Gland Holding Forceps ,"5""",,1,0,12%
75,Lane Gland Holding Forceps ,"6""",,1,1650,12%
76,Lane Gland Holding Forceps ,"7""",,1,0,12%
77,TISSUE HOLDING FORCEPS (BABY-ALLIS),"12cm/ 5""",,1,343.2,12%
78,TISSUE HOLDING FORCEPS (BOYS-ALLIS),"15cm/ 6""",,1,316.8,12%
79,ADAIR-ALLIS (10:11 TEETH),"15cm/ 6""",,1,858,12%
