,,,,,,,
,,,,,,,
S.No ,Item Description,Product Specification,Make/Brand,Qty,Price,GST,
1,DISPOSABLE SYRINGE 1ML.26G. TB,1ML.26G. TB,DISPOVAN,1,3.756984,12%,
2,DISPOSABLE SYRINGE 1ML.31.M.4OU/100U,1ML.31.M.4OU/100U,DISPOVAN,1,4.1153805,12%,
3,DISPOSABLE SYRINGE 2ML WITH NEEDLE, 2ML ,DISPOVAN,1,2.100945,12%,
4,DISPOSABLE SYRINGE 2.5ML WITH NEEDLE,2.5ML ,DISPOVAN,1,2.1627375,12%,
5,DISPOSABLE SYRINGE 3ML WITH NEEDLE,3ML ,DISPOVAN,1,2.3604735,12%,
6,DISPOSABLE SYRINGE 5ML WITH NEEDLE, 5ML ,DISPOVAN,1,2.743587,12%,
7,DISPOSABLE SYRINGE 10ML WITH NEEDLE, 10ML ,DISPOVAN,1,4.424343,12%,
8,DISPOSABLE SYRINGE 20ML WITH NEEDLE,20ML ,DISPOVAN,1,10.13397,12%,
9,DISPOSABLE SYRINGE 2ML WITHOUT NEEDLE, 2ML,DISPOVAN,1,1.606605,12%,
10,DISPOSABLE SYRINGE 2.5ML WITHOUT NEEDLE, 2.5ML,DISPOVAN,1,1.6931145,12%,
11,DISPOSABLE SYRINGE 3ML WITHOUT NEEDLE, 3ML ,DISPOVAN,1,1.829058,12%,
12,DISPOSABLE SYRINGE 5ML WITHOUT NEEDLE,5ML,DISPOVAN,1,2.2121715,12%,
13,DISPOSABLE SYRINGE 10ML WITHOUT NEEDLE,10ML,DISPOVAN,1,3.5716065,12%,
14,DISPOSABLE SYRINGE 20ML WITHOUT NEEDLE, 20ML ,DISPOVAN,1,9.1329315,12%,
15,DISPOSABLE SYRINGE 50ML WITHOUT NEEDLE,50ML,DISPOVAN,1,21.849828,12%,
16,DISPOSABLE SYRINGE 50ML IRRIGATION W/O NEEDLE, 50ML ,DISPOVAN,1,25.8169065,12%,
17,DISPOSABLE SYRINGE 2ML WITH NEEDLE,2ML,PERFEKTUM TPE,1,2.1874545,12%,
18,DISPOSABLE SYRINGE 2.5ML WITH NEEDLE,2.5ML,PERFEKTUM TPE,1,2.249247,12%,
19,DISPOSABLE SYRINGE 3ML WITH NEEDLE,3ML ,PERFEKTUM TPE,1,2.3851905,12%,
20,DISPOSABLE SYRINGE 5ML WITH NEEDLE,5ML,PERFEKTUM TPE,1,2.7806625,12%,
21,DISPOSABLE SYRINGE 10ML WITH NEEDLE,10ML,PERFEKTUM TPE,1,4.4614185,12%,
22,DISPOSABLE SYRINGE 20ML WITH NEEDLE,20ML,PERFEKTUM TPE,1,10.1957625,12%,
23,DISPOSABLE SYRINGE 50ML WITHOUT NEEDLE,50ML,PERFEKTUM TPE,1,22.3070925,12%,
24,DISPOJEKT SYRINGES S.I.P. 2ML,2ML,DISPOJEKT,1,3.336795,12%,
25,DISPOJEKT SYRINGES S.I.P. 3ML,3ML,DISPOJEKT,1,3.6457575,12%,
26,DISPOJEKT SYRINGES S.I.P.5ML,5ML,DISPOJEKT,1,4.0165125,12%,
27,DISPOSABLE NEEDLE 18 TO 19 & 27GX11/2,18 TO 19 & 27GX11/2,DISPOVAN,1,1.433586,12%,
28,"DISPOSABLE NEEDLE 20 TO 25GX1 & 26X1/2""","20 TO 25GX1 & 26X1/2""",DISPOVAN,1,0.790944,12%,
29,"DISPOSABLE NEEDLE 20 TO 26X1 1/2""","20 TO 26X1 1/2""",DISPOVAN,1,1.0504725,12%,
30,DISPOSABLE NEEDLE 16X11/2, 16X11/2,DISPOVAN,1,2.1133035,12%,
31,DISPOSABLE SYRINGE LUER LOCK 2.5ML WITH NEEDLE, 2.5ML,UNOLOK,1,2.1874545,12%,
32,DISPOSABLE SYRINGE LUER LOCK  3ML WITH NEEDLE, 3ML ,UNOLOK,1,2.3851905,12%,
33,DISPOSABLE SYRINGE LUER LOCK 5ML WITH NEEDLE, 5ML ,UNOLOK,1,2.7806625,12%,
